## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates --TAGGING_POLICY All --INPUT Map_with_BWA-MEM_on_data_22_and_data_21__mapped_reads_in_BAM_format_ --OUTPUT /corral4/main/jobs/061/206/61206050/outputs/dataset_d51234c4-f90d-47fc-b53d-85b4d3110253.dat --METRICS_FILE /corral4/main/jobs/061/206/61206050/outputs/dataset_ae1885b4-dee0-41c3-89ab-4dabc3973663.dat --REMOVE_DUPLICATES false --ASSUME_SORTED true --DUPLICATE_SCORING_STRATEGY SUM_OF_BASE_QUALITIES --OPTICAL_DUPLICATE_PIXEL_DISTANCE 100 --VERBOSITY ERROR --QUIET true --VALIDATION_STRINGENCY LENIENT --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --SORTING_COLLECTION_SIZE_RATIO 0.25 --TAG_DUPLICATE_SET_MEMBERS false --REMOVE_SEQUENCING_DUPLICATES false --CLEAR_DT true --DUPLEX_UMI false --FLOW_MODE false --FLOW_QUALITY_SUM_STRATEGY false --USE_END_IN_UNPAIRED_READS false --USE_UNPAIRED_CLIPPED_END false --UNPAIRED_END_UNCERTAINTY 0 --FLOW_SKIP_FIRST_N_FLOWS 0 --FLOW_Q_IS_KNOWN_END false --FLOW_EFFECTIVE_QUALITY_THRESHOLD 15 --ADD_PG_TAG_TO_READS true --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --COMPRESSION_LEVEL 5 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Wed Oct 09 20:05:15 GMT 2024

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	120720	7890626	62375	194642	19947	7640	0	0.002215	4072106190

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	non_optical_sets
1.0	1	7875862	7875862
2.0	1.998064	6807	6807
3.0	2.994196	274	274
4.0	3.9884	23	23
5.0	4.980679	4	4
6.0	5.971037	5	5
7.0	6.959478	1	1
8.0	7.946006	3	3
9.0	8.930623	0	0
10.0	9.913335	1	1
11.0	10.894144	0	0
12.0	11.873055	0	0
13.0	12.85007	2	2
14.0	13.825195	1	1
15.0	14.798431	0	0
16.0	15.769783	1	1
17.0	16.739256	0	0
18.0	17.706851	0	0
19.0	18.672573	0	0
20.0	19.636426	0	0
21.0	20.598413	0	0
22.0	21.558537	1	1
23.0	22.516803	0	0
24.0	23.473214	0	0
25.0	24.427773	0	0
26.0	25.380485	0	0
27.0	26.331352	0	0
28.0	27.280378	0	0
29.0	28.227568	0	0
30.0	29.172923	0	0
31.0	30.116449	0	0
32.0	31.058148	0	0
33.0	31.998024	0	0
34.0	32.936081	0	0
35.0	33.872322	0	0
36.0	34.80675	0	0
37.0	35.739369	0	0
38.0	36.670183	0	0
39.0	37.599195	0	0
40.0	38.526409	0	0
41.0	39.451827	0	0
42.0	40.375455	0	0
43.0	41.297294	0	0
44.0	42.217348	0	0
45.0	43.135622	0	0
46.0	44.052118	0	0
47.0	44.96684	0	0
48.0	45.879791	0	0
49.0	46.790974	0	0
50.0	47.700394	0	0
51.0	48.608053	0	0
52.0	49.513955	0	0
53.0	50.418104	0	0
54.0	51.320502	0	0
55.0	52.221153	0	0
56.0	53.120061	0	0
57.0	54.017228	0	0
58.0	54.912659	0	0
59.0	55.806356	0	0
60.0	56.698324	0	0
61.0	57.588564	0	0
62.0	58.477081	0	0
63.0	59.363878	0	0
64.0	60.248959	0	0
65.0	61.132326	0	0
66.0	62.013983	0	0
67.0	62.893933	1	1
68.0	63.77218	0	0
69.0	64.648727	0	0
70.0	65.523576	0	0
71.0	66.396733	0	0
72.0	67.268198	0	0
73.0	68.137977	0	0
74.0	69.006072	0	0
75.0	69.872487	0	0
76.0	70.737224	0	0
77.0	71.600288	0	0
78.0	72.46168	0	0
79.0	73.321405	0	0
80.0	74.179466	0	0
81.0	75.035866	0	0
82.0	75.890608	0	0
83.0	76.743695	0	0
84.0	77.595131	0	0
85.0	78.444918	0	0
86.0	79.293061	0	0
87.0	80.139561	0	0
88.0	80.984423	0	0
89.0	81.827649	0	0
90.0	82.669243	0	0
91.0	83.509208	0	0
92.0	84.347547	0	0
93.0	85.184263	0	0
94.0	86.019359	0	0
95.0	86.852838	0	0
96.0	87.684704	0	0
97.0	88.51496	0	0
98.0	89.343608	0	0
99.0	90.170652	0	0
100.0	90.996095	0	0

