## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates --TAGGING_POLICY All --INPUT Map_with_BWA-MEM_on_data_2_and_data_1__mapped_reads_in_BAM_format_ --OUTPUT /corral4/main/jobs/061/197/61197411/outputs/dataset_2dafe83b-0e53-4c76-a4f7-b8eb2f2fec95.dat --METRICS_FILE /corral4/main/jobs/061/197/61197411/outputs/dataset_9d8e281a-59f6-45db-8db2-80808a81eedf.dat --REMOVE_DUPLICATES false --ASSUME_SORTED true --DUPLICATE_SCORING_STRATEGY SUM_OF_BASE_QUALITIES --OPTICAL_DUPLICATE_PIXEL_DISTANCE 100 --VERBOSITY ERROR --QUIET true --VALIDATION_STRINGENCY LENIENT --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --SORTING_COLLECTION_SIZE_RATIO 0.25 --TAG_DUPLICATE_SET_MEMBERS false --REMOVE_SEQUENCING_DUPLICATES false --CLEAR_DT true --DUPLEX_UMI false --FLOW_MODE false --FLOW_QUALITY_SUM_STRATEGY false --USE_END_IN_UNPAIRED_READS false --USE_UNPAIRED_CLIPPED_END false --UNPAIRED_END_UNCERTAINTY 0 --FLOW_SKIP_FIRST_N_FLOWS 0 --FLOW_Q_IS_KNOWN_END false --FLOW_EFFECTIVE_QUALITY_THRESHOLD 15 --ADD_PG_TAG_TO_READS true --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --COMPRESSION_LEVEL 5 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Wed Oct 09 15:02:22 GMT 2024

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	24	9966	37	44	4	847	0	0.085087	55259

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	non_optical_sets
1.0	0.999999	8317	8317
2.0	1.834975	757	757
3.0	2.532161	45	45
4.0	3.114296	0	0
5.0	3.600365	0	0
6.0	4.006222	0	0
7.0	4.345103	0	0
8.0	4.628061	0	0
9.0	4.864325	0	0
10.0	5.0616	0	0
11.0	5.22632	0	0
12.0	5.363857	0	0
13.0	5.478698	0	0
14.0	5.574587	0	0
15.0	5.654652	0	0
16.0	5.721505	0	0
17.0	5.777326	0	0
18.0	5.823935	0	0
19.0	5.862852	0	0
20.0	5.895347	0	0
21.0	5.92248	0	0
22.0	5.945135	0	0
23.0	5.964052	0	0
24.0	5.979847	0	0
25.0	5.993035	0	0
26.0	6.004047	0	0
27.0	6.013242	0	0
28.0	6.020919	0	0
29.0	6.02733	0	0
30.0	6.032682	0	0
31.0	6.037152	0	0
32.0	6.040883	0	0
33.0	6.043999	0	0
34.0	6.046601	0	0
35.0	6.048774	0	0
36.0	6.050587	0	0
37.0	6.052102	0	0
38.0	6.053367	0	0
39.0	6.054423	0	0
40.0	6.055304	0	0
41.0	6.05604	0	0
42.0	6.056655	0	0
43.0	6.057168	0	0
44.0	6.057597	0	0
45.0	6.057955	0	0
46.0	6.058254	0	0
47.0	6.058503	0	0
48.0	6.058711	0	0
49.0	6.058885	0	0
50.0	6.05903	0	0
51.0	6.059152	0	0
52.0	6.059253	0	0
53.0	6.059338	0	0
54.0	6.059408	0	0
55.0	6.059467	0	0
56.0	6.059516	0	0
57.0	6.059557	0	0
58.0	6.059592	0	0
59.0	6.05962	0	0
60.0	6.059644	0	0
61.0	6.059664	0	0
62.0	6.059681	0	0
63.0	6.059695	0	0
64.0	6.059706	0	0
65.0	6.059716	0	0
66.0	6.059724	0	0
67.0	6.059731	0	0
68.0	6.059737	0	0
69.0	6.059741	0	0
70.0	6.059745	0	0
71.0	6.059749	0	0
72.0	6.059751	0	0
73.0	6.059754	0	0
74.0	6.059756	0	0
75.0	6.059757	0	0
76.0	6.059759	0	0
77.0	6.05976	0	0
78.0	6.059761	0	0
79.0	6.059761	0	0
80.0	6.059762	0	0
81.0	6.059763	0	0
82.0	6.059763	0	0
83.0	6.059763	0	0
84.0	6.059764	0	0
85.0	6.059764	0	0
86.0	6.059764	0	0
87.0	6.059764	0	0
88.0	6.059765	0	0
89.0	6.059765	0	0
90.0	6.059765	0	0
91.0	6.059765	0	0
92.0	6.059765	0	0
93.0	6.059765	0	0
94.0	6.059765	0	0
95.0	6.059765	0	0
96.0	6.059765	0	0
97.0	6.059765	0	0
98.0	6.059765	0	0
99.0	6.059765	0	0
100.0	6.059765	0	0

